Timestamp(ms),GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
675,0.02,0.00,0.00,0.24,0.12,9.94
680,0.01,0.00,0.00,0.30,0.10,9.94
685,0.02,0.00,0.00,0.26,0.12,9.94
690,0.01,0.00,0.00,0.29,0.13,9.96
695,0.01,0.00,0.00,0.31,0.11,9.97
700,0.01,0.00,0.00,0.28,0.14,9.93
705,0.01,0.00,0.00,0.32,0.12,9.96
710,0.01,0.00,0.01,0.28,0.11,9.97
715,0.01,0.00,0.01,0.29,0.13,9.98
720,0.01,0.00,0.01,0.32,0.07,9.92
726,0.01,0.00,0.01,0.27,0.10,9.94
731,0.01,0.00,0.01,0.30,0.08,9.96
736,0.01,0.00,0.01,0.28,0.07,9.95
741,0.01,0.00,0.01,0.26,0.07,9.93
746,0.01,0.00,0.01,0.28,0.05,9.92
751,0.01,0.00,0.01,0.22,0.08,9.94
756,0.01,0.00,0.01,0.24,0.05,9.94
761,0.01,0.00,0.01,0.23,0.03,9.92
766,0.01,0.00,0.01,0.18,0.08,9.93
771,0.01,0.00,0.01,0.21,0.06,9.95
776,0.01,0.00,0.01,0.14,0.07,9.94
781,0.01,0.00,0.01,0.16,0.09,9.94
786,0.01,0.00,0.01,0.16,0.08,9.96
791,0.01,0.00,0.01,0.12,0.11,9.96
796,0.01,0.00,0.01,0.15,0.09,9.98
801,0.01,0.00,0.01,0.12,0.09,9.95
806,0.01,0.00,0.01,0.12,0.11,9.96
811,0.01,0.00,0.01,0.17,0.08,9.97
816,0.01,0.00,0.01,0.13,0.11,9.96
821,0.01,0.00,0.00,0.16,0.07,9.94
826,0.01,0.00,0.01,0.17,0.06,9.94
831,0.01,0.00,0.00,0.17,0.08,9.97
836,0.01,0.00,0.01,0.23,0.04,9.97
842,0.01,-0.00,0.00,0.22,0.06,9.93
847,0.01,-0.00,0.01,0.25,0.06,9.94
852,0.01,-0.00,0.01,0.24,0.04,9.98
857,0.01,-0.00,0.01,0.23,0.08,9.95
862,0.01,-0.00,0.01,0.29,0.05,9.94
867,0.01,-0.00,0.01,0.29,0.09,9.98
872,0.01,-0.00,0.01,0.30,0.09,9.96
877,0.01,-0.00,0.01,0.33,0.06,9.95
882,0.01,-0.00,0.01,0.28,0.09,9.93
887,0.01,-0.00,0.01,0.32,0.08,9.97
892,0.01,-0.00,0.01,0.29,0.06,9.95
897,0.01,-0.00,0.01,0.27,0.08,9.94
902,0.01,-0.00,0.01,0.26,0.06,9.97
907,0.01,-0.00,0.01,0.18,0.11,9.94
912,0.01,-0.00,0.01,0.13,0.14,10.01
917,0.01,0.00,0.01,0.05,0.16,10.03
922,0.01,0.00,0.01,0.02,0.14,9.96
927,0.01,0.00,0.00,0.00,0.10,9.99
932,0.01,0.00,0.00,-0.03,0.09,10.00
937,0.01,0.00,0.00,-0.03,0.09,9.97
942,0.01,0.00,0.00,-0.02,0.07,9.96
947,0.01,0.00,-0.00,-0.02,0.07,9.99
953,0.01,0.00,0.00,0.03,0.04,9.95
958,0.01,0.00,0.00,0.06,-0.01,9.95
963,0.01,0.00,0.00,0.10,0.01,9.92
968,0.01,0.00,0.00,0.16,-0.02,9.94
973,0.01,0.00,0.00,0.18,-0.01,9.90
978,0.01,0.00,0.00,0.23,0.01,9.94
983,0.01,0.00,0.00,0.26,-0.00,9.92
988,0.01,0.00,0.00,0.27,0.03,9.95
993,0.01,0.00,0.01,0.33,0.01,9.96
998,0.01,-0.00,0.01,0.33,0.02,9.95
1003,0.01,-0.00,0.01,0.37,0.05,9.93
1008,0.01,0.00,0.01,0.38,0.05,9.97
1013,0.01,-0.00,0.01,0.36,0.09,9.97
1018,0.01,-0.00,0.01,0.37,0.08,9.97
